DT,CompanyCode,CompanyName,DistributorID,DistributorName,BranchCode,BranchName,WHCode,WHName,ProfitCentreCode,DistributorProductID,ProductID,ProductName,UOM,QTY
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14005972,แบรนด์ เจนยู ลูทีน่า พลัส 50 มล. แพค 8,PAC,83.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14006020,แบรนด์ซุปไก่สกัด ช็อกโกแลตซิกเนเจอร์ 42 มล. แพค 12,PAC,0.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP1,103P01,,,14006145,แบรนด์รังนกแท้ สูตรคลาสสิค 42 มล. แพค 6,PAC,6.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14003432,แบรนด์ซุปไก่สกัด รสกลมกล่อม 42 มล. แพค 12,PAC,5.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005108,แบรนด์รังนกรีจูนิเพล็กซ์ มายด์ไซลิทอล 42 มล. แพค 6,PAC,16.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005130,แบรนด์รังนกรีจูนิเพล็กซ์ คลาสสิค 70 มล. แพค 6,PAC,7.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005173,แบรนด์ซุปไก่สกัด ไลท์ อะโรมา 42 มล. แพค 12 (BOI4),PAC,5.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005252,แบรนด์จูเนียร์ อัลฟ่าพลัส ฟรุ๊ตลาวา 42 มล. แพค 12,PAC,6.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005254,แบรนด์จูเนียร์ อัลฟ่าพลัส น้ำผึ้ง 42 มล. แพค 12,PAC,12.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005256,แบรนด์จูเนียร์ อัลฟ่าพลัส ช็อกโกลาวา 42 มล. แพค 12,PAC,11.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005447,วีต้า ฟรุตแอคทีฟ เมโทพลัส ไลโคปีน 42 มล. แพค 12,PAC,12.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005495,แบรนด์ เจนยู จินเซนโนไซด์ เจนโปร 100 มล. แพค 8,PAC,23.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005678,วีต้า ฟรุตแอคทีฟ พลัสบ๊อกบิลเบอร์รี่ 42 มล. แพค 12,PAC,35.7500
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005679,วีต้า ฟรุตแอคทีฟ พรุนพลัสกรีนคอฟฟี่บีน 42 มล.แพค12,PAC,36.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005894,แบรนด์ซุปไก่สกัด ช็อกโกแลตซิกเนเจอร์ 70 มล. แพค 12,PAC,1.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005942,แบรนด์ซุปไก่สกัด สูตรต้นตำรับ 42 มล. แพค 12 (Alex),PAC,74.5000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005944,แบรนด์ซุปไก่สกัด สูตรต้นตำรับ 70 มล. แพค 12 (Alex),PAC,28.0000
20200907,TH03,,91855,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด สำนักงานใหญ่,10300,บริษัท เอส แอนด์ เอส โอเอ็มซี จำกัด,1CP2,103P02,,,14005972,แบรนด์ เจนยู ลูทีน่า พลัส 50 มล. แพค 8,PAC,114.1250
